Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,4.060443010546419,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,10.373522431293592,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,19
37.0,140.0,8.412054873292933,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,4.158883083359672,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,3.4011973816621555,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,3.091042453358316,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,10.12667110305036,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,19
37.0,140.0,7.170888478512505,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,5.564520407322694,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,5.14166355650266,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,4.30406509320417,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,4.30406509320417,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.602118820879701,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,9.61587214452889,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.937731775260109,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.709530201312334,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,2.9444389791664403,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.14166355650266,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.00397413672268,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.351858133476067,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.042632833682381,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,7.378383712996714,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,6.580639137284949,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,8.748463629942055,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.601402334583733,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,7.00397413672268,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.31748811353631,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.5263605246161616,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,10.12667110305036,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.601402334583733,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.8888779583328805,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.795790545596741,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.871201010907891,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,8.03947991910045,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,8.31898612539206,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.127134385045092,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,9.798182590890704,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,5.707110264748875,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.081404364984463,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.382026634673881,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.332204510175204,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,9.90353755128617,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,8.216358332386156,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.61512051684126,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.044522437723423,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,2.19722457733622,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,8.343077871169383,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,8.434028950155469,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.564520407322694,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.14166355650266,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.174387269895637,20.18,,,460.0,129,1,1,43,7,7,58,0,0,191,26
